Country,Other renewable (per capita - Wh),renewable_other_generation_subindex
Albania,0.0,0.0
Andorra,0.0,0.0
Armenia,0.0,0.0
Austria,512.01357142,0.03217735676238565
Azerbaijan,9.9508829264,0.0006253605917817626
Belarus,42.311371462,0.0026590468898368266
Belgium,406.57927034,0.025551366143748266
Bosnia and Herzegovina,0.0,0.0
Bulgaria,297.82886900000005,0.01871697608595162
Croatia,279.57031588,0.017569522169685638
Cyprus,43.422797156,0.002728894142071835
Czech Republic,493.20204739999997,0.030995151536932358
Denmark,1176.4113155999999,0.07393125634616729
Estonia,1192.4733039999999,0.07494066773662465
Finland,2240.3806252,0.14079612472119932
France,139.99543555999998,0.008797975925963377
Georgia,0.0,0.0
Germany,603.53232842,0.03792882871316225
Greece,50.0639044,0.003146252761092035
Hungary,212.18497601999997,0.013334708402510694
Iceland,15912.23217,1.0
Ireland,187.14120680000002,0.011760839384484674
Italy,401.53621836,0.025234436882905286
Kosovo,0.0,0.0
Latvia,430.86776511999994,0.027077770140403877
Liechtenstein,0.0,0.0
Lithuania,213.84431392000002,0.01343898905165359
Luxembourg,500.46215152,0.03145141085004669
Malta,0.0,0.0
Moldova,0.0,0.0
Monaco,0.0,0.0
Montenegro,0.0,0.0
Netherlands,487.9142475,0.030662841158130238
North Macedonia,28.801799336,0.0018100414214858706
Norway,47.647264416,0.0029943796638306594
Poland,208.63907974,0.0131118674935724
Portugal,377.71850528,0.023737619037015347
Romania,27.349393596,0.001718765368919325
Russian Federation,5.2962933816,0.0003328441493950374
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,314.39906781999997,0.019758325825131547
Slovenia,133.01155506,0.008359075812805967
Spain,129.18782376,0.008118774435906185
Sweden,1185.7080621999999,0.07451550791443737
Switzerland,225.27481414,0.014157335798852914
Turkey,191.49951872,0.012034736338314752
Ukraine,18.6280132896,0.0011706725423929005
United Kingdom,551.71026416,0.03467208486312577
Vatican,0.0,0.0
