Country,Solar generation (per capita - Wh),renewable_solar_generation_subindex
Albania,0.0,0.0
Andorra,0.0,0.0
Armenia,0.0,0.0
Austria,342.96881516,0.48233
Azerbaijan,5.5983692206,0.00787
Belarus,19.101122088,0.02686
Belgium,502.98976368,0.70738
Bosnia and Herzegovina,0.0,0.0
Bulgaria,287.93881874,0.40494
Croatia,43.713179404,0.06148
Cyprus,363.65584567999997,0.51143
Czech Republic,210.26195395999997,0.2957
Denmark,309.85990246,0.43577
Estonia,296.449886498,0.41691
Finland,61.814161058,0.08693
France,243.80804985999998,0.34288
Georgia,0.0,0.0
Germany,632.75024372,0.88987
Greece,568.11904686,0.79897
Hungary,391.98151954,0.55126
Iceland,0.005670389600000001,1e-05
Ireland,28.4233743496,0.03997
Italy,445.19723478,0.6261
Kosovo,0.0,0.0
Latvia,10.940819618199999,0.01539
Liechtenstein,0.0,0.0
Lithuania,78.796707582,0.11082
Luxembourg,324.8261934,0.45682
Malta,0.0,0.0
Moldova,0.0,0.0
Monaco,0.0,0.0
Montenegro,0.0,0.0
Netherlands,711.06211726,1.0
North Macedonia,54.095799998000004,0.07608
Norway,44.91620516,0.06317
Poland,138.164132182,0.19431
Portugal,274.61629572,0.38621
Romania,94.035065686,0.13225
Russian Federation,13.9782099538,0.01966
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,116.2127823,0.16344
Slovenia,269.97104994,0.37967
Spain,608.8633719,0.85627
Sweden,157.98588554600002,0.22218
Switzerland,400.25026773999997,0.56289
Turkey,165.09963908,0.23219
Ukraine,122.03759675399999,0.17163
United Kingdom,189.05431626,0.26588
Vatican,0.0,0.0
