Country,Forest area (avg),forest_area_subindex
Albania,28.7919708029197,0.3905158851352632
Andorra,34.0425531914894,0.4617314279330488
Armenia,11.533719704952574,0.1564360005194516
Austria,47.1549624333495,0.6395797640678417
Azerbaijan,13.763257299729299,0.18667602310166007
Belarus,43.23198308695552,0.5863709801915726
Belgium,22.604446776415,0.30659226495150144
Bosnia and Herzegovina,42.7326171875,0.5795979003782079
Bulgaria,35.920228445099504,0.4871990146668396
Croatia,34.673434514524274,0.4702882988734461
Cyprus,18.670995670995648,0.25324144883045463
Czech Republic,34.6932626115591,0.4705572345054354
Denmark,15.722749999999998,0.21325332937569605
Estonia,57.04527079458537,0.7737255837613325
Finland,73.72804000776308,1.0
France,31.585204827990523,0.4284015257243351
Georgia,40.6159159591308,0.5508883181331582
Germany,32.68337714621247,0.4432964329822293
Greece,30.2699767261443,0.41056261258209314
Hungary,22.488317992548776,0.3050171683687902
Iceland,0.512496280868789,0.006951171912542724
Ireland,11.38075192335605,0.15436124332286238
Italy,32.43983425234565,0.43999317286787964
Latvia,54.8411708565092,0.7438305812922028
Liechtenstein,41.875,0.5679657291254566
Lithuania,35.166363245717875,0.47697406905181644
Luxembourg,34.4538272103664,0.4673096857957791
Malta,1.4375,0.01949733099982911
Moldova,11.74501240073135,0.1593018395646307
Monaco,0.0,0.0
Montenegro,61.4869888475836,0.8339702078220094
Netherlands,10.988087318087326,0.14903539164923346
North Macedonia,39.7101506740682,0.5386030968663615
Norway,33.4282444246376,0.4533993365498095
Poland,30.99891529342035,0.4204494692949435
Portugal,36.154994891142,0.49038323665372247
Romania,30.1158292767733,0.40847185512597783
Russian Federation,49.7843360788722,0.6752429072253953
San Marino,16.6666666666667,0.226056011592222
Serbia,32.067549620563526,0.43494374212561493
Slovakia,40.05615640599,0.5432960974111389
Slovenia,61.42165928368527,0.8330841193827745
Spain,37.17514286053702,0.504219871525443
Sweden,68.6996660773915,0.9317983506703538
Switzerland,32.16506962985985,0.4362664411867327
Turkey,28.97283110065875,0.3929689585889995
Ukraine,16.7293752157404,0.22690655026200215
United Kingdom,13.203784875790527,0.1790876968165742
