Country,Hydro generation (per capita - Wh),renewable_hydro_generation_subindex
Albania,0.0,0.0
Andorra,0.0,0.0
Armenia,0.0,0.0
Austria,4326.034157200001,0.11738737016934009
Azerbaijan,142.102126,0.0038559554225547025
Belarus,38.66478516,0.0010491728181435836
Belgium,28.464370124,0.0007723835344253884
Bosnia and Herzegovina,0.0,0.0
Bulgaria,509.05882588000003,0.013813362229720029
Croatia,1640.8639785999999,0.04452500841512641
Cyprus,0.0,0.0
Czech Republic,207.06411544000002,0.005618705512874318
Denmark,2.8930476908,7.85031388696438e-05
Estonia,17.823117502,0.0004836320786549423
Finland,2620.5995148,0.07111023032433227
France,835.9705905799999,0.022684145709707452
Georgia,0.0,0.0
Germany,226.39225956,0.006143176639558466
Greece,399.85224312,0.01085003066793825
Hungary,22.113929414,0.0006000636896727727
Iceland,36852.637136,1.0
Ireland,166.56536126,0.004519767761675009
Italy,691.2770573,0.018757872191043735
Kosovo,0.0,0.0
Latvia,1477.3420238,0.040087823792583854
Liechtenstein,0.0,0.0
Lithuania,138.19854786000002,0.003750031438727051
Luxembourg,143.679943734,0.003898769664807632
Malta,0.0,0.0
Moldova,0.0,0.0
Monaco,0.0,0.0
Montenegro,0.0,0.0
Netherlands,3.6739021662,9.969170327328079e-05
North Macedonia,739.33428676,0.02006190992605442
Norway,24832.560188,0.6738340080347188
Poland,56.262976460000004,0.0015267015017777046
Portugal,990.42038732,0.02687515641458653
Romania,835.96687908,0.022684044997783197
Russian Federation,1397.5590708,0.03792290537153379
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,788.29838074,0.021390555520650653
Slovenia,2112.3874888,0.05731984609417506
Spain,526.7953082,0.014294643454033657
Sweden,6666.739835,0.18090265319133716
Switzerland,4090.9522937999996,0.11100840025919603
Turkey,818.37526908,0.022206694898383783
Ukraine,231.28006268,0.006275807666802518
United Kingdom,85.703323568,0.0023255682694218794
Vatican,0.0,0.0
